Country Name,Country Code,Date,Thevalue,theid
Bahrain,BHR,1988-01-01,31,1184
Bahrain,BHR,1989-01-01,53,1185
Bahrain,BHR,1990-01-01,46,1186
Bahrain,BHR,1991-01-01,41,1187
Bahrain,BHR,1992-01-01,34,1188
Bahrain,BHR,1993-01-01,35,1189
Bahrain,BHR,1994-01-01,44,1190
Bahrain,BHR,1995-01-01,42.2,1191
Bahrain,BHR,1996-01-01,36.8,1192
Bahrain,BHR,1997-01-01,36.2,1193
Bahrain,BHR,1998-01-01,30.4,1194
Bahrain,BHR,1999-01-01,34.9,1195
Bahrain,BHR,2000-01-01,21,1196
Bahrain,BHR,2001-01-01,24.8,1197
Bahrain,BHR,2002-01-01,20.4,1198
Bahrain,BHR,2003-01-01,38.2,1199
Bahrain,BHR,2004-01-01,35.5,1200
Bahrain,BHR,2005-01-01,33.3,1201
Bahrain,BHR,2006-01-01,40.9,1202
Bahrain,BHR,2007-01-01,48.3,1203
Bahrain,BHR,2008-01-01,43.4,1204
Bahrain,BHR,2009-01-01,35.8,1205
Bahrain,BHR,2010-01-01,42.1,1206
Bahrain,BHR,2011-01-01,39.9,1207
Bangladesh,BGD,1986-01-01,124,1208
Bangladesh,BGD,1987-01-01,112,1209
Bangladesh,BGD,1988-01-01,95,1210
Bangladesh,BGD,1989-01-01,99,1211
Bangladesh,BGD,1990-01-01,116,1212
Bangladesh,BGD,1991-01-01,104,1213
Bangladesh,BGD,1992-01-01,151,1214
Bangladesh,BGD,1993-01-01,153,1215
Bangladesh,BGD,1994-01-01,136,1216
Bangladesh,BGD,1995-01-01,162.1,1217
Bangladesh,BGD,1996-01-01,156.3,1218
Bangladesh,BGD,1997-01-01,136.3,1219
Bangladesh,BGD,1998-01-01,141.5,1220
Bangladesh,BGD,1999-01-01,166.6,1221
Bangladesh,BGD,2000-01-01,154.8,1222
Bangladesh,BGD,2001-01-01,181,1223
Bangladesh,BGD,2002-01-01,150.6,1224
Bangladesh,BGD,2003-01-01,200.1,1225
Bangladesh,BGD,2004-01-01,186.7,1226
Bangladesh,BGD,2005-01-01,195.1,1227
Bangladesh,BGD,2006-01-01,218.6,1228
Bangladesh,BGD,2007-01-01,235.3,1229
Bangladesh,BGD,2008-01-01,237.4,1230
Bangladesh,BGD,2009-01-01,259.6,1231
Bangladesh,BGD,2010-01-01,270.2,1232
Bangladesh,BGD,2011-01-01,290.8,1233
Barbados,BRB,1986-01-01,20,1234
Barbados,BRB,1987-01-01,19,1235
Barbados,BRB,1988-01-01,19,1236
Barbados,BRB,1989-01-01,17,1237
Barbados,BRB,1990-01-01,15,1238
Barbados,BRB,1991-01-01,13,1239
Barbados,BRB,1992-01-01,18,1240
Barbados,BRB,1993-01-01,14,1241
Barbados,BRB,1994-01-01,19,1242
Barbados,BRB,1995-01-01,16.5,1243
Barbados,BRB,1996-01-01,11.4,1244
Barbados,BRB,1997-01-01,16.4,1245
Barbados,BRB,1998-01-01,15.3,1246
Barbados,BRB,1999-01-01,13.5,1247
Barbados,BRB,2000-01-01,14.2,1248
Barbados,BRB,2001-01-01,22.3,1249
Barbados,BRB,2002-01-01,20.1,1250
Barbados,BRB,2003-01-01,26.8,1251
Barbados,BRB,2004-01-01,29.2,1252
Barbados,BRB,2005-01-01,17.6,1253
Barbados,BRB,2006-01-01,19.8,1254
Barbados,BRB,2007-01-01,15,1255
Barbados,BRB,2008-01-01,21.4,1256
Barbados,BRB,2009-01-01,12.6,1257
Barbados,BRB,2010-01-01,12.9,1258
